NOMBRE,CARTEGORIA,FECHA
Taller: “Electrónica en el arte y la interactividad”,"Oportunidades y recursos, Talleres y especialización","Noviembre 55, 2016"
PROGRAMA DE ARTES ESCÉNICAS EN LA ESCUELA – PASEE 2016. Sábado 26 de noviembre en el Colegio Melitón Carvajal (LINCE),"Formación, Talleres y especialización","Noviembre 22, 2016"
[Taller] Experimentar el Estado de Payaso – Asociación Cultural Hamuy Teatro,"Formación, Oportunidades y recursos, Talleres y especialización","Noviembre 14, 2016"
[CONVOCATORIA] XII Encuentro Internacional de Productores: Taller de formación de productores cinematográficos,"Oportunidades y recursos, Talleres y especialización","Noviembre 59, 2016"
"V Encuentro de artistas, artesanos y diseñadores: Integrando experiencias ante los nuevos escenarios","Oportunidades y recursos, Talleres y especialización","Octubre 40, 2016"
[Festival] Tercer festival de la palabra PUCP del 19 al 23 de octubre.,"Centros culturales, Festivales, Oportunidades y recursos, Talleres y especialización","Septiembre 28, 2016"
Conecta 2016: “ESPACIO IDEA” convoca emprendedores culturales. Inscripciones hasta el 25 de setiembre,"Formación, Talleres y especialización","Septiembre 10, 2016"
"[SEMINARIO] Literatura, pintura y arquitectura en el discurso cultural en el Perú",Talleres y especialización,"Septiembre 40, 2016"
CONECTA: CULTURA Y EMPRENDIMIENTO. ENCUENTRO CONECTA 2016,"Conferencias y ponencias, Formación, Talleres y especialización","Septiembre 05, 2016"
[Taller] Formación actoral y pedagogía teatral por Débora Astrosky,"Oportunidades y recursos, Talleres y especialización","Septiembre 55, 2016"
Educación de la voz. Centro Cultural UDEP,"Formación, Talleres y especialización","Septiembre 50, 2016"
¿Qué es el ser humano? Un curso de Antropología. Centro Cultural UDEP,"Formación, Talleres y especialización","Septiembre 30, 2016"
"[Taller] Introducción a las políticas culturales dirigido por Santiago Alfaro. Miércoles 21 y 28 de setiembre, 5,19 y 26 de octubre","Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Septiembre 24, 2016"
PROGRAMA DE ARTES EN LA ESCUELA – PASEE 2016. Sesión sábado 10 de setiembre Tema: Danza,"Formación, Talleres y especialización","Agosto 53, 2016"
[Talleres de Arte Ministerio de Cultura] Inscripciones  hasta el 07 de setiembre.,Talleres y especialización,"Agosto 37, 2016"
Inscripciones para los TALLERES CREATIVOS AGOSTO /// 2016. Espacio Los Únicos,"Formación, Talleres y especialización","Agosto 26, 2016"
PROGRAMA DE ARTES EN LA ESCUELA – PASEE 2016. Sesión sábado 13 de agosto. Tema: Teatro,"Formación, Talleres y especialización","Agosto 55, 2016"
[CONVOCATORIA] Clase Maestra de la compañía de danza “ULTIMA VEZ” dictada por el reconocido coreógrafo Iñaki Azpillaga. Postulaciones hasta el 5 de agosto,Talleres y especialización,"Agosto 10, 2016"
Renato Moriconi y Diego Bianki en el MAC. Actividades preparatorias para el “I Encuentro Nacional de Ilustradores 2017”,"Formación, Talleres y especialización","Julio 10, 2016"
Talleres de Arte – Ministerio de Cultura . Mes de julio 2016,"Oportunidades y recursos, Talleres y especialización","Junio 54, 2016"
[TALLER] BNP PRESENTARÁ “PROTECCIÓN DEL PATRIMONIO BIBLIOGRÁFICO ANTE LOS RIESGOS OCASIONADOS POR EL FENÓMENO DEL NIÑO”,Talleres y especialización,"Junio 09, 2016"
Tulpu – Plataforma online,"Herramientas de autoformación, Talleres y especialización","Mayo 45, 2016"
Inscripciones para los TALLERES CREATIVOS JUNIO /// 2016:::,"Formación, Talleres y especialización","Mayo 24, 2016"
[Talleres] Actuación y Pedagogía Teatral por la argentina Débora Astrosky en Lima. 21 de mayo 2016,Talleres y especialización,"Mayo 24, 2016"
"“Artes Escénicas: diálogo, interacción y creatividad” Taller – Cusco. 24, 25, 27 y 28 de mayo","Formación, Oportunidades y recursos, Talleres y especialización","Mayo 32, 2016"
Talleres de Arte – Ministerio de Cultura. Inscripciones hasta el 03 de junio,"Formación, Talleres y especialización","Mayo 56, 2016"
[Talleres] Arte Corpus invita a sus talleres de técnicas de acuarela e ilustración contemporánea y de moda. Inicio: abril y mayo 2016,Talleres y especialización,"Abril 54, 2016"
Desarrollando identidad a través del arte EsCAPe,"Oportunidades y recursos, Talleres y especialización","Abril 18, 2016"
Coaching teatral. Inicio 10 de mayo.,"Oportunidades y recursos, Talleres y especialización","Abril 28, 2016"
Relación de seleccionados Taller “Ciudadanía e interculturalidad a través de la danza”,"Formación, Talleres y especialización","Abril 05, 2016"
Taller intensivo de técnicas escénicas “todo o nada” de GESTUS se realizará este 16 y 17 de abril 2016,Talleres y especialización,"Abril 45, 2016"
Cursos de formación continua del programa “Universidad Abierta”. Universidad de Piura.,"Formación, Talleres y especialización","Marzo 58, 2016"
Taller de Fotografía de viajes con el fotógrafo argentino Mazzoncini. Lunes 29 de febrero en el CCPUCP,Talleres y especialización,"Febrero 52, 2016"
Taller de Danza Contemporánea con Franklin Dávalos. Inicio: 16 de febrero 2016,Talleres y especialización,"Febrero 33, 2016"
"2da edición de LADFEST. Este 11, 12 y 13 de febrero",Talleres y especialización,"Febrero 28, 2016"
Difunden en Perú innovador método ruso de apreciación musical en niños: Mundo Mozart Perú,Talleres y especialización,"Febrero 30, 2016"
BIBLIOTECA NACIONAL DEL PERÚ ORGANIZA EL  V PROGRAMA DE HISTORIA DEL ARTE PERUANO,Talleres y especialización,"Febrero 04, 2016"
[TALLERES DE VERANO] EN LA CASA DE LA CULTURA Y EL CENTRO CULTURAL EL OLIVAR,"Oportunidades y recursos, Talleres y especialización","Febrero 47, 2016"
Municipalidad de San Isidro anuncia Taller de Poesía Experimental con Luis Alvarado,Talleres y especialización,"Enero 15, 2016"
Ministerio de Cultura inicia temporada de Talleres de Arte 2016,Talleres y especialización,"Diciembre 07, 2015"
IV Congreso Pedagógico Internacional ‘La Ciudad en el Aula’ se realizará este 27 y 28 de noviembre,Talleres y especialización,"Noviembre 09, 2015"
"“Emprende Música” clases maestras, experiencias prácticas y herramientas para gestionar empresas orientadas a la música. Este 28 de noviembre","Conferencias y ponencias, Talleres y especialización","Noviembre 47, 2015"
TALLERES DEL MAL PARA EL BIEN en Espacio Los ÚNICOS.,Talleres y especialización,"Noviembre 35, 2015"
[CUSCO] Taller Fotográfico La Caja Negra. Del 19 al 22 de noviembre 2015,Talleres y especialización,"Noviembre 07, 2015"
[Festival de Danza] Conozca la programación de los talleres y presentación del festival INDISCIPLINADOS,"Festivales, Formación, Talleres y especialización","Octubre 16, 2015"
ICPNA: Encuentro Internacional de Narradores Orales 2015 “BENDITA SEA LA PALABRA”,"Formación, Oportunidades y recursos, Talleres y especialización","Octubre 36, 2015"
III Taller de máscaras de Paucartambo en Lima dictado por el maestro Víctor Salcedo. Del 18 al 29 de noviembre,"Formación, Talleres y especialización","Octubre 52, 2015"
Escuela Internacional de Cine y Televisión apertura  Talleres Internacionales 2015 & 2016 [Fonalizó],"Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Septiembre 17, 2015"
TALLER DE IMPRO “REGALOS PARA INSPIRAR AL COMPAÑERO” CON PATTI STILES,"Formación, Oportunidades y recursos, Talleres y especialización","Septiembre 18, 2015"
Ministerio de Cultura anuncia resultados de las convocatorias lanzadas en el marco del Seminario CONECTA 2015,"Formación, Talleres y especialización","Septiembre 36, 2015"
Curso de interpretación para actores y actrices con Roberto Castón  [Setiembre 2015],"Formación, Talleres y especialización","Septiembre 29, 2015"
Ya llega en octubre el II ENCUENTRO LATINOAMERICANO DE CINE COMUNITARIO organizado por Grupo Chaski,"Conferencias y ponencias, Talleres y especialización","Septiembre 01, 2015"
SEMINARIO “CREAR PARA LA ESCENA”,"Herramientas de autoformación, Talleres y especialización","Septiembre 11, 2015"
Taller ‘‘Crea y Emprende: Artes Escénicas’’. Este 27 y 28 de agosto,Talleres y especialización,"Agosto 11, 2015"
Ministerio de Cultura te invita a participar en el Seminario CONECTA 2015. ¡Participa ahora!,"Formación, Talleres y especialización","Agosto 02, 2015"
SEMINARIO “CREAR PARA LA ESCENA”. Lista de inscritos que participarán en el seminario.,"Oportunidades y recursos, Talleres y especialización","Agosto 40, 2015"
[ESPACIO IDEA]  Postula a la ayuda a la movilidad hasta el 13 de septiembre,"Formación, Talleres y especialización","Agosto 06, 2015"
Ministerio de Cultura realiza taller de fortalecimiento empresarial dirigido al sector de las industrias culturales,"Herramientas de autoformación, Talleres y especialización","Agosto 03, 2015"
"Curso – Taller: Conservación de Obras de Arte Complejas Contemporáneas. Modelos de Comprensión, Documentación y Gestión. Inscripciones hasta el 04 de setiembre",Talleres y especialización,"Julio 10, 2015"
Ministerio de Cultura lanza convocatoria para taller de fortalecimiento empresarial a nivel nacional,"Formación, Oportunidades y recursos, Talleres y especialización","Julio 55, 2015"
"ENCUENTRO Cultura, Arte y Cambio Social. Del 12 al 14 de agosto de 2015 en la  UPCH","Conferencias y ponencias, Talleres y especialización","Julio 09, 2015"
Conversatorio + presentación de la pagina web. Espacio Los Únicos. Este viernes 10 de julio a las 8 pm.,Talleres y especialización,"Julio 20, 2015"
Servicio de asesoría personalizada en escritura teatral – Clínica Dramática,Talleres y especialización,"Julio 25, 2015"
El Punto de Cultura “Ensamble Cultural” llevará el Método Dalcroze a Iquitos,"Conferencias y ponencias, Formación, Talleres y especialización","Junio 26, 2015"
ASIMTRIA: “Electrónica a mano como ingrediente del Desarrollo”,Talleres y especialización,"Junio 15, 2015"
CAPACITACIÓN EN NUEVAS ESTRATEGIAS PARA LA FOTOGRAFÍA DOCUMENTAL (FOTOTECA ANDINA-AECID).,Talleres y especialización,"Junio 21, 2015"
TALLER DE CÓMIC ALTERNATIVO POR MANUEL GÓMEZ BURNS. Este Sábado 6 de Junio de 3 a 6 p.m. ÚNICA FECHA.,Talleres y especialización,"Junio 04, 2015"
Red Sonar – La música conecta.,"Oportunidades y recursos, Talleres y especialización","Junio 06, 2015"
Taller de dibujo y creación de seres imaginarios. Inicio 21 de mayo,Talleres y especialización,"Mayo 57, 2015"
TALLER DE DRAMATURGIA: Dirigido por Mariana de Althaus.,Talleres y especialización,"Mayo 43, 2015"
Curso de “Apreciar la Música. La Historia de la Opera en el Perú”. Inicio 29 de abril,Talleres y especialización,"Abril 13, 2015"
Encuentro Nacional de Artes Escénicas PERÚ EN ESCENA.  Del 29 de mayo al 02 de junio,"Festivales, Talleres y especialización","Febrero 02, 2015"
Convocatoria en Cusco para Monitores Culturales para la muestra: La Divina comedia ilustrada por Salvador Dalí.. Hasta el 28 de febrero,"Formación, Talleres y especialización","Febrero 51, 2015"
Taller de Danza Inclusiva: La Inclusión del Cuerpo en la Escuela. Inscripciones hasta el 21 de febrero,"Formación, Talleres y especialización","Febrero 50, 2015"
Un taller para ponerte en la piel del otro: “Arte para la [de]transformación” del Colectivo C.H.O.L.O.,Talleres y especialización,"Febrero 25, 2015"
Más de 100 representantes de organizaciones culturales de la Macro Región Norte se reunirán para trabajar en una agenda conjunta,"Conferencias y ponencias, Oportunidades y recursos, Talleres y especialización","Febrero 29, 2015"
Maestros e investigadores participan en el IV curso de Historia del Arte Peruano organizado por la BNP. Hasta el 20 de febrero. Ingreso Libre,Talleres y especialización,"Enero 16, 2015"
Del 11 al 13 de febrero participa del 1er Congreso de Educación Artística y Cultura Visual,"Conferencias y ponencias, Formación, Talleres y especialización","Enero 04, 2015"
"Talleres Internacionales 2015 en la Escuela Internacional de Cine y Televisión, San Antonio de los Baños, Cuba",Talleres y especialización,"Enero 40, 2015"
[Taller] ¿Qué es poesía sonora? Con Luis Alvarado. Inicio 21 de enero 2015,Talleres y especialización,"Enero 24, 2015"
[Taller] Consciencia Vocal con el maestro Luciano Garrido. Inicio: 14 de enero 2015,Talleres y especialización,"Diciembre 34, 2014"
[curso virtual ] Arte y marketing: promoción del artista en el mercado del arte,"Formación, Talleres y especialización","Diciembre 08, 2014"
Arte y Feminismos: sobre la construcción y de-construcción de “la mujer” en la historia del arte,Talleres y especialización,"Noviembre 37, 2014"
MOOC # IBERTIC Artes y tecnologías para educar,"Formación, Oportunidades y recursos, Talleres y especialización","Noviembre 54, 2014"
Taller de Creación y Fortalecimiento Empresarial para el Sector Cultura.,"Formación, Talleres y especialización","Noviembre 31, 2014"
Del 26 al 28 de noviembre: SEMINARIO INTERNACIONAL DE DANZAS CIRCULARES – Desde lo antropológico a lo actual.,"Herramientas de autoformación, Talleres y especialización","Noviembre 51, 2014"
Talleres de Arte – Verano 2015 en Corriente Alterna,"Formación, Talleres y especialización","Noviembre 08, 2014"
Carrera corta de 10 meses en Fotografía. Toulouse Lautrec,"Formación, Talleres y especialización","Octubre 04, 2014"
Talleres internacionales de la EICTV SAN ANTONIO DE LOS BAÑOS -CUBA,Talleres y especialización,"Octubre 12, 2014"
"VI ECATE, EL CUENTO A TU ENCUENTRO: “La importancia de los cuentos y la interculturalidad”",Talleres y especialización,"Octubre 48, 2014"
Curso taller para gestores culturales “Retos y Oportunidades para la  Financiación de la Cultura”,Talleres y especialización,"Octubre 32, 2014"
TUPAC anuncia el inicio de su Programa de Educación en las Artes,Talleres y especialización,"Septiembre 13, 2014"
Taller de Máscaras de Paucartambo con el artesano cusqueño Víctor Salcedo en Casa TUPAC,Talleres y especialización,"Septiembre 22, 2014"
TALLERES PERSONALIZADOS DE GUIÓN AUDIOVISUAL de Pablo Santur. Inicio 06 de octubre,Talleres y especialización,"Septiembre 56, 2014"
CONSTRUYENDO GUIONES – TALLERES ONLINE DE GUIÓN. Inicio 06 de octubre.,"Formación, Herramientas de autoformación, Talleres y especialización","Septiembre 24, 2014"
CONVOCATORIA: LABORATORIO MUSICAL,"Formación, Talleres y especialización","Septiembre 32, 2014"
FORMARTE,"Centros culturales, Talleres y especialización","Agosto 37, 2014"
Finalizó postulación al Programa de Artes Escénicas en la Escuela,"Formación, Talleres y especialización","Agosto 22, 2014"
Finalizó: Congreso de las Artes en homenaje a artista Jorge Eduardo Eielson inicia este viernes 29 de agosto,"Oportunidades y recursos, Talleres y especialización","Agosto 55, 2014"
Conferencia: La experiencia de Circo Social en CIRQUE DU SOLEIL,"Formación, Talleres y especialización","Agosto 38, 2014"
Theatre – Dance – Music – Visual & Multimedia Art – Arts Administration – Performing Arts Training – Theater Design & Technology,"Formación, Talleres y especialización","Agosto 23, 2014"
III Jornadas de Arte: Conservación y Restauración en Museo de los Descalzos. Abiertas las postulaciones.,"Formación, Talleres y especialización","Agosto 55, 2014"
International Physical Theatre Lab and IUGTE Conference  – December 2014,"Formación, Talleres y especialización","Agosto 26, 2014"
Taller de Creación de Guión Documental con JAVIER CORCUERA inicia 02/09/14,Talleres y especialización,"Agosto 24, 2014"
Del 23 al 31 de agosto: “Ciclo de Audiovisual Etnográfico: Miradas y Sensibilidades”,"Formación, Oportunidades y recursos, Talleres y especialización","Agosto 34, 2014"
Ciclo de conferencias Temas de Arte,Talleres y especialización,"Agosto 19, 2014"
Cuarto Encuentro Nacional de Cultura 2014. Del 20 al 23 de agosto de 2014.,"Formación, Oportunidades y recursos, Talleres y especialización","Agosto 31, 2014"
PROGRAMA PUNTOS DE CULTURA PROMUEVE FORTALECIMIENTO DE ORGANIZACIONES CULTURALES EN PUNO,"Formación, Oportunidades y recursos, Talleres y especialización","Agosto 44, 2014"
Ciclo de conversatorios en el marco del Día Internacional de la Fotografía,"Formación, Talleres y especialización","Agosto 02, 2014"
Taller de lucha escénica para actores,Talleres y especialización,"Agosto 09, 2014"
CURSO “TEORÍA Y CRÍTICA DEL ARTE CONTEMPORÁNEO” EN C.C. PUCP INICIA EL 19 DE AGOSTO,"Formación, Talleres y especialización","Agosto 37, 2014"
Construye tu propio instrumento musical,Talleres y especialización,"Agosto 19, 2014"
Coloquio internacional “Las independencias antes de la independencia”,"Oportunidades y recursos, Talleres y especialización","Julio 03, 2014"
Taller de entrenamiento y formación actoral en Maguey,"Formación, Talleres y especialización","Julio 44, 2014"
Taller de Clown “De serio a tonto”,Talleres y especialización,"Julio 55, 2014"
"Taller de Autogestión para Artistas Visuales en el ICPNA, setiembre 2014","Formación, Talleres y especialización","Julio 22, 2014"
XII Congreso Internacional de Folklore,"Formación, Talleres y especialización","Julio 16, 2014"
Convocatoria al III Seminario Internacional de Cultura Viva Comunitaria,"Festivales, Formación, Oportunidades y recursos, Talleres y especialización","Julio 20, 2014"
SEMINARIO ONLINE: PRÁCTICA POLÍTICA EN EL ARTE CONTEMPORÁNEO LATINOAMERICANO,"Formación, Talleres y especialización","Julio 01, 2014"
"CURSO-SEMINARIO “HISTORIA, CRÍTICA Y EL LENGUAJE DEL VIDEOARTE” EN EL ICPNA","Formación, Talleres y especialización","Julio 59, 2014"
Taller de texturas del 9 al 30 agosto 2014,Talleres y especialización,"Julio 44, 2014"
Danza Viva Perú,"Centros culturales, Formación, Talleres y especialización","Julio 01, 2014"
Curso online de Introducción a la Curaduría: Visions of Art,Talleres y especialización,"Mayo 42, 2014"
Taller de dramaturgia a cargo del dramaturgo noruego Finn Iunker,"Formación, Talleres y especialización","Mayo 57, 2014"
“Cómo elaborar un proyecto de Artes Escénicas”,"Formación, Oportunidades y recursos, Talleres y especialización","Mayo 28, 2014"
VI Congreso Internacional de Teatro Contemporáneo 2014 – UCSUR,"Oportunidades y recursos, Talleres y especialización","Mayo 28, 2014"
¿Cómo escribir una obra de teatro?,"Formación, Herramientas de autoformación, Talleres y especialización","Mayo 49, 2014"
Taller literario con César Bedón,"Formación, Talleres y especialización","Mayo 29, 2014"
Curso “Diseño de proyectos” con énfasis en danza,"Formación, Talleres y especialización","Mayo 50, 2014"
Taller: el SNIP en proyectos culturales,"Formación, Talleres y especialización","Abril 29, 2014"
6° edición Conferencia Internacional HASTAC 2014,"Formación, Talleres y especialización","Abril 46, 2014"
Instituto de Arte Electrónica,"Formación, Talleres y especialización","Abril 26, 2014"
CONECTA. Gestión + Redes – Seminario de Capacitación para el sector musical,"Herramientas de autoformación, Talleres y especialización","Marzo 47, 2014"
6° edición de la Conferencia Internacional HASTAC 2014: ‘Senderos Hemisféricos: Pensadores Críticos en Redes Internacionales’,"Formación, Talleres y especialización","Marzo 24, 2014"
Domingo [ Laboratorio Creativo ],"Formación, Herramientas de autoformación, Talleres y especialización","Marzo 10, 2014"
Programa Académico del Libro de la Universidad Ricardo Palma,"Formación, Talleres y especialización","Marzo 30, 2014"
Formación en Gestión editorial – Editorial Estruendomudo: Talleres para editores,"Formación, Talleres y especialización","Marzo 53, 2014"
Talleres de Arte – Ministerio de Cultura,"Formación, Talleres y especialización","Febrero 02, 2014"
Taller de creación literaria del Centro Cultural UNMSM,"Formación, Talleres y especialización","Diciembre 05, 2012"
Centro Audiovisual Para Niños y Adolescentes,"Formación, Talleres y especialización","Noviembre 31, 2011"
Dirección de Cine y Producción Audiovisual del Centro Cultural de San Marcos,"Formación, Talleres y especialización","Noviembre 06, 2011"
